class	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_1420"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1421"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1422"	"Bacteria"	"Gemmatimonadetes"	"Longimicrobia"	"Longimicrobiales"	"Longimicrobiaceae"	NA	NA
"OTU_1423"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU_1424"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1425"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	NA
"OTU_1426"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1427"	"Bacteria"	"Cyanobacteria"	"ML635J-21"	NA	NA	NA	NA
"OTU_1428"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1429"	"Bacteria"	"Chloroflexi"	"Thermomicrobia"	"JG30-KF-CM45"	NA	NA	NA
"OTU_1430"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1431"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1432"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1433"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Herpetosiphonales"	"Herpetosiphonaceae"	"Herpetosiphon"	NA
"OTU_1434"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1435"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1436"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	NA
"OTU_1437"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1438"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1439"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1440"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1441"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacter"	NA
"OTU_1442"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rubellimicrobium"	NA
"OTU_1443"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1444"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Pontibacter"	NA
"OTU_1445"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomyces"	NA
"OTU_1446"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Dinghuibacter"	NA
"OTU_1447"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1448"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1449"	"Eukaryota"	NA	NA	NA	NA	NA	NA
